Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132;V133;V134;
530010805060001;1;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;3;1;2;0;0;1;2;0;1;2;0;0;0;0;0;1;1;0;1;0;1;0;0;1;1;2;1;0;0;0;1;0;0;1;0;1;0;1;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
530010805060002;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
530010805060004;1;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;1;0;1;0;0;1;2;0;1;2;0;0;0;0;0;0;2;3;1;1;0;0;0;0;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
530010805060005;1;25;25;10;4;3;2;0;0;1;0;1;0;1;0;1;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;2;1;0;0;1;1;1;0;1;0;0;0;0;0;0;2;0;1;1;0;2;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
530010805060006;1;348;348;7;173;133;9;3;1;2;6;2;0;0;0;5;0;1;0;6;0;0;3;0;0;2;0;0;0;0;0;0;1;0;0;2;0;1;3;4;6;4;6;6;2;3;6;3;10;4;8;5;6;7;13;11;3;5;5;8;9;4;3;3;10;9;6;5;4;7;6;6;4;7;4;5;13;7;6;11;8;12;8;9;9;6;8;5;5;2;3;2;0;0;0;1;0;0;0;0;1;0;0;0;1;2;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
530010805060007;1;400;400;2;196;180;7;0;0;2;2;2;0;0;0;2;0;0;0;6;1;0;2;1;0;0;0;0;0;0;0;0;0;1;0;0;5;3;1;2;4;1;1;4;4;2;7;6;13;11;12;11;10;7;19;15;15;11;14;7;3;0;3;0;1;1;3;4;2;2;1;4;2;9;10;10;5;9;11;19;16;12;15;17;16;10;5;6;7;2;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
530010805060008;1;414;414;30;194;148;13;5;0;1;4;1;0;1;0;3;1;1;0;12;0;0;6;0;0;1;0;0;0;0;2;0;1;0;2;5;3;3;2;4;6;1;5;9;5;2;4;8;4;7;11;9;11;6;16;8;13;9;3;7;6;6;5;1;8;11;9;6;3;5;8;7;8;4;13;11;11;8;11;17;15;8;8;5;8;14;8;6;2;4;1;0;3;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
530010805060009;1;344;344;88;126;66;28;3;0;2;1;5;0;6;0;7;0;2;0;10;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;4;2;3;4;2;2;5;2;3;3;3;3;7;3;5;3;5;2;7;4;5;4;4;5;7;4;7;12;5;11;3;5;10;8;5;9;7;7;4;9;11;9;3;11;4;7;3;5;6;3;3;8;4;4;6;4;4;4;5;7;1;3;1;1;1;3;1;3;4;2;1;1;0;0;3;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
530010805060010;1;309;309;76;84;73;35;0;2;7;3;10;0;6;0;3;0;0;0;10;0;0;3;0;0;1;0;1;0;0;1;0;0;0;0;0;5;2;1;3;4;2;3;4;5;5;3;1;1;5;3;4;2;7;5;8;5;6;2;9;5;3;2;6;3;10;4;7;2;2;2;4;2;3;4;2;1;1;4;7;5;6;2;3;4;5;6;9;4;8;4;6;1;2;8;10;4;3;4;2;2;3;4;2;3;0;1;2;3;2;2;1;0;3;1;1;0;1;0;2;3;1;1;0;1;0;0;1;1;0;0;0;0;0;0
530010805060011;1;240;240;50;87;48;15;0;2;5;1;7;0;2;1;3;6;2;0;10;1;0;2;0;0;1;0;0;0;1;0;0;0;0;0;2;1;1;2;1;2;2;2;1;1;2;0;3;3;2;0;0;3;1;0;0;4;2;1;4;6;4;1;8;9;3;1;4;4;2;6;2;4;3;6;1;1;3;1;3;3;4;2;7;4;5;3;5;3;2;4;5;5;7;4;4;5;5;2;6;4;1;3;1;3;1;6;4;2;4;5;0;0;1;1;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0
