Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;
530010805130037;1;0;467792;467792;0;0;10;39;76;74;12;12;5;0;6;
530010805130038;1;0;480783;480783;0;0;5;25;64;61;18;14;6;0;2;
530010805130039;1;0;428932;428932;0;0;5;27;58;71;21;9;5;0;0;
530010805130040;1;0;427893;427893;0;2;7;29;52;60;21;11;2;1;2;
530010805130041;1;0;412393;412393;0;1;1;25;48;64;22;13;4;1;1;
530010805130042;1;0;286352;286352;0;3;16;35;57;32;7;5;1;0;0;
530010805130043;1;0;475321;475321;0;1;11;23;69;47;23;15;6;0;3;
530010805130044;1;0;201226;201226;0;0;12;28;48;20;6;2;1;0;1;
530010805130045;1;0;421685;421685;0;0;2;24;54;57;14;17;2;0;1;
530010805130046;1;0;422250;422250;0;0;3;25;72;63;13;9;5;1;2;
530010805130047;1;0;514753;514753;0;1;4;31;79;65;24;16;5;0;3;
530010805130048;1;0;382486;382486;0;0;4;29;41;44;16;11;3;0;2;
530010805130049;1;0;246995;246995;0;1;5;18;44;37;5;6;3;0;4;
530010805130050;1;0;448054;448054;0;0;10;32;63;39;19;10;6;1;3;
530010805130051;1;0;466537;466537;0;2;8;51;59;52;15;4;3;4;5;
530010805130052;1;0;323166;323166;0;0;2;27;56;37;15;11;1;0;3;
530010805130053;1;0;292929;292929;0;4;4;20;53;34;10;10;1;0;4;
530010805130054;1;0;291675;291675;0;0;8;28;55;45;19;7;0;0;5;
530010805130055;8;0;468297;468297;0;2;7;35;35;28;11;12;9;3;6;
530010805130056;1;0;227298;227298;0;1;8;25;35;27;4;7;0;1;0;
530010805130058;1;0;926244;926244;0;0;1;8;27;70;30;41;23;2;13;
530010805130059;1;0;354446;354446;0;0;6;22;26;42;14;15;2;1;3;
530010805130060;1;0;566111;566111;0;1;4;19;44;49;19;18;9;2;5;
530010805130061;1;0;445758;445758;0;1;1;8;26;31;21;26;9;1;1;
530010805130062;1;0;879421;879421;0;0;4;8;41;51;30;33;13;3;2;
530010805130063;1;0;942352;942352;0;0;5;20;56;84;36;48;13;2;3;
530010805130064;1;0;702213;702213;0;0;3;20;54;54;28;33;13;1;1;
530010805130065;1;0;281050;281050;0;0;0;4;19;34;18;15;7;1;2;
530010805130066;1;0;671348;671348;0;0;3;25;51;78;38;19;14;2;7;
530010805130067;1;0;764152;764152;0;0;4;6;24;57;40;35;13;3;1;
530010805130068;1;0;468637;468637;0;0;0;3;32;59;41;27;21;5;1;
530010805130069;1;0;1106392;1106392;0;0;0;2;15;26;30;52;45;17;0;
530010805130070;1;0;474964;474964;0;0;5;20;46;38;16;10;12;3;18;
530010805130071;1;0;348850;348850;0;0;6;13;34;34;12;15;7;0;25;
530010805130072;1;0;733438;733438;0;0;2;10;37;57;41;28;16;3;27;
530010805130073;1;1;530520;530520;0;0;0;4;6;33;37;44;24;4;7;
530010805130074;1;0;467996;467996;0;0;3;6;24;30;13;18;9;2;2;
530010805130075;1;0;266105;266105;0;0;1;9;40;21;14;12;5;0;7;
530010805130076;1;0;262549;262549;0;0;2;14;37;33;7;6;5;0;2;
530010805130077;1;0;723193;723193;0;0;1;5;27;41;21;22;21;5;3;
530010805130078;1;0;99950;99950;0;0;0;7;19;14;3;7;0;0;4;
530010805130079;1;0;286208;286208;0;0;0;2;12;38;25;14;12;0;1;
530010805130080;1;0;633127;633127;0;0;2;14;30;38;27;26;8;3;2;
530010805130081;1;0;517515;517515;0;0;0;15;40;53;30;26;12;5;11;
530010805130082;1;0;211582;211582;0;0;0;11;19;19;14;5;7;0;1;
530010805130083;1;0;466131;466131;0;0;0;6;23;41;21;15;8;2;0;
530010805130084;1;0;804057;804057;0;0;2;5;21;58;37;53;38;6;3;
530010805130085;1;0;502466;502466;0;0;4;17;26;42;22;24;7;2;15;
530010805130086;1;0;286910;286910;0;0;0;5;19;19;7;14;7;2;0;
530010805130087;1;0;544073;544073;0;1;8;27;61;51;20;21;11;0;0;
530010805130088;1;0;577317;577317;0;1;4;28;71;63;34;18;9;1;4;
530010805130089;1;0;673482;673482;0;1;6;19;41;62;29;24;13;2;6;
530010805130090;1;0;794102;794102;0;0;1;16;46;76;32;27;21;3;1;
530010805130091;1;0;508119;508119;0;0;5;8;23;41;26;18;19;2;9;
530010805130092;1;0;443287;443287;0;1;2;7;24;27;24;15;7;3;1;
530010805130093;1;0;395100;395100;0;0;1;13;18;33;18;21;9;0;0;
530010805130094;1;0;165240;165240;0;0;1;3;9;16;10;7;4;0;0;
530010805130095;1;0;162799;162799;0;0;0;1;9;10;3;8;4;1;1;
530010805130096;8;0;2364850;2364850;0;0;1;6;14;46;33;68;86;10;3;
530010805130097;8;0;335491;335491;0;1;5;13;38;50;9;11;5;1;6;
530010805130099;1;0;257700;257700;0;0;6;19;31;41;17;2;3;0;0;
530010805130100;1;0;200813;200813;0;0;4;16;51;38;3;2;2;0;3;
530010805130101;1;0;280220;280220;0;0;7;42;46;42;15;6;5;0;2;
530010805130102;1;0;240039;240039;0;1;9;31;44;29;13;6;2;1;2;
530010805130103;1;1;252789;250489;2300;0;8;26;55;26;9;6;2;0;4;
530010805130104;1;0;543783;543783;0;3;12;51;71;59;31;19;5;1;4;
530010805130105;1;1;161043;160533;510;1;5;28;40;27;6;4;0;0;2;
530010805130106;1;0;394360;394360;0;5;20;51;59;39;16;9;7;0;11;
530010805130107;1;0;278470;278470;0;1;3;20;46;27;13;7;1;2;0;
530010805130108;8;0;60435;60435;0;0;1;7;7;7;0;2;1;0;0;
530010805130109;1;1;604573;604063;510;0;5;34;70;65;31;15;5;2;1;
530010805130110;1;0;369933;369933;0;0;8;21;81;44;12;9;5;0;3;
530010805130111;1;1;394518;392808;1710;0;8;21;58;49;15;10;6;2;4;
530010805130112;1;0;278712;278712;0;0;3;18;50;43;10;5;1;0;2;
530010805130113;1;0;319995;319995;0;0;3;32;46;42;11;9;2;0;2;
530010805130114;1;0;333593;333593;0;0;10;41;56;43;12;12;2;1;11;
530010805130115;1;0;414133;414133;0;1;7;19;69;63;18;5;1;1;4;
530010805130116;1;0;504979;504979;0;0;9;19;55;76;22;14;7;0;6;
530010805130117;1;0;326037;326037;0;1;1;16;41;34;9;10;5;0;1;
530010805130118;1;0;199656;199656;0;1;1;19;38;16;13;2;0;0;4;
530010805130119;1;0;299274;299274;0;0;9;32;63;40;12;5;4;0;14;
530010805130120;1;0;497690;497690;0;8;18;34;75;62;20;11;2;2;14;
530010805130121;1;0;381031;381031;0;0;7;13;40;55;15;14;5;0;4;
530010805130122;1;0;328728;328728;0;1;5;24;43;37;13;11;4;0;3;
530010805130123;8;0;228544;228544;0;0;1;9;16;15;4;7;6;1;0;
530010805130125;8;0;28160;28160;0;0;0;1;4;1;2;1;1;0;1;
530010805130126;1;0;374095;374095;0;0;8;23;44;39;8;8;2;3;0;
530010805130127;1;0;500664;500664;0;0;0;5;24;32;39;40;18;5;1;
530010805130128;1;0;472537;472537;0;0;4;13;23;49;18;16;11;4;5;
530010805130129;1;0;815902;815902;0;0;1;13;26;37;27;63;36;5;18;
530010805130130;1;0;1266860;1266860;0;0;0;0;2;27;27;58;58;11;2;
530010805140001;1;0;2160230;2160230;0;2;0;4;27;53;60;70;68;47;1;
530010805140002;1;4;959823;953643;6180;0;1;9;19;53;37;59;37;12;9;
530010805140003;1;0;1720003;1720003;0;0;0;14;28;34;39;40;38;20;4;
530010805140004;1;0;2240832;2240832;0;0;2;9;14;29;28;32;61;31;2;
530010805140005;1;0;1233479;1233479;0;0;0;0;16;26;20;43;28;16;6;
530010805140006;1;0;549640;549640;0;0;0;10;19;97;41;15;8;0;1;
530010805140007;1;0;1001590;1001590;0;0;3;14;56;75;42;39;29;11;4;
530010805140008;1;0;782497;782497;0;0;2;8;59;83;40;36;20;5;0;
