Cod_setor;Situacao_setor;V001;V002;V003
530010805060092;1;48;0;0
530010805060093;1;20;0;0
530010805060094;1;42;0;0
530010805060095;1;24;0;0
530010805060096;1;41;0;0
530010805060097;1;62;0;0
530010805060098;1;39;0;0
530010805060099;1;50;0;0
530010805060100;1;74;0;0
530010805060101;1;31;0;0
530010805060102;1;34;0;0
530010805060103;1;25;0;0
530010805060104;1;72;0;0
530010805060105;1;84;0;0
530010805060106;1;61;0;0
530010805060107;1;27;0;0
530010805060108;1;51;0;0
530010805060109;1;48;0;0
530010805060110;1;74;0;0
530010805060111;1;21;0;0
530010805060112;1;39;0;0
530010805060113;1;38;0;0
530010805060114;1;37;0;0
530010805060115;1;36;0;0
530010805060116;1;47;0;0
530010805060117;1;52;0;0
530010805060118;1;60;0;0
530010805060119;1;49;0;0
530010805060120;1;50;0;0
530010805060121;1;46;0;0
530010805060122;1;21;0;0
530010805060123;1;50;0;0
530010805060124;1;43;0;0
530010805060125;1;57;0;0
530010805060126;1;8;0;0
530010805060127;1;46;0;0
530010805060128;1;41;0;0
530010805060129;1;38;0;0
530010805060130;1;71;0;0
530010805060131;1;41;0;0
530010805060132;1;47;0;0
530010805060133;1;56;0;0
530010805060134;1;58;0;0
530010805060135;1;56;0;0
530010805060136;1;91;0;0
530010805060137;1;41;0;2
530010805060138;1;26;0;0
530010805060139;1;60;0;0
530010805060140;1;74;0;0
530010805060141;1;38;0;0
530010805060142;1;95;0;0
530010805060143;1;83;0;0
530010805060144;1;28;0;0
530010805060145;1;37;0;0
530010805060146;1;40;0;0
530010805060147;1;55;0;0
530010805060148;1;77;0;0
530010805060149;1;31;0;0
530010805060150;1;38;0;0
530010805060151;1;40;0;0
530010805060152;1;49;0;0
530010805060153;1;45;0;0
530010805060154;1;57;0;0
530010805060155;1;76;0;0
530010805060156;1;50;0;0
530010805060157;1;45;0;0
530010805060158;1;30;0;0
530010805060159;1;69;0;0
530010805060160;1;117;0;0
530010805060161;1;90;0;0
530010805060162;1;61;0;0
530010805060163;1;68;0;0
530010805060164;1;33;0;0
530010805060165;1;54;0;0
530010805060166;1;90;0;0
530010805060167;1;74;0;0
530010805060168;1;80;0;0
530010805060169;1;38;0;0
530010805060170;1;44;0;0
530010805060171;1;44;0;0
530010805060172;1;28;0;0
530010805060173;1;26;0;0
530010805060174;1;26;0;0
530010805060175;1;79;0;0
530010805060176;1;74;0;0
530010805060177;1;63;0;0
530010805060178;1;44;0;0
530010805060179;1;35;0;0
530010805060180;1;19;0;0
530010805060181;1;78;0;0
530010805060182;1;61;0;0
530010805060183;1;58;0;0
530010805060184;1;34;0;0
530010805060185;1;51;0;0
530010805060186;1;71;1;0
530010805060187;1;47;0;0
530010805060188;1;63;0;0
530010805060189;1;50;0;0
530010805060190;1;48;0;0
530010805060191;1;45;0;0
530010805060192;1;41;0;0
530010805060193;1;45;0;0
530010805060194;1;49;0;0
530010805060195;1;43;0;0
530010805060196;1;75;0;0
530010805060197;1;49;0;0
530010805060198;1;43;0;0
530010805060199;1;37;0;0
530010805060200;1;56;0;0
530010805060201;1;50;0;0
530010805060202;1;57;0;0
530010805060203;1;34;0;0
530010805060204;1;51;0;0
530010805060205;1;48;0;0
530010805060206;1;65;0;0
530010805060207;1;46;0;0
530010805060208;1;47;0;0
530010805060209;1;39;0;0
530010805060210;1;38;1;0
530010805060211;1;57;0;0
530010805060212;1;23;0;0
530010805060213;1;42;1;0
530010805060214;1;55;0;0
530010805060215;1;61;0;0
530010805060216;1;46;0;0
530010805060217;1;5;0;0
530010805060218;1;23;0;0
530010805060219;1;75;0;0
530010805060220;1;53;0;0
530010805060221;1;35;1;0
530010805060222;1;50;1;0
530010805060223;1;23;0;0
530010805060224;1;33;0;0
530010805060225;1;68;0;0
530010805060226;1;33;0;0
530010805060227;1;62;1;0
530010805060228;1;69;0;0
530010805060229;1;66;1;0
530010805060230;1;60;0;0
530010805060231;1;49;0;0
530010805060232;1;75;0;0
530010805060233;1;34;0;1
530010805060234;1;75;0;0
530010805060235;1;41;1;0
530010805060236;1;42;0;0
530010805060237;1;31;0;0
530010805060238;1;13;0;0
530010805060239;1;16;0;0
530010805060240;1;52;0;0
530010805060241;1;0;0;0
530010805060242;1;72;0;0
530010805060243;1;27;0;0
530010805060244;1;55;0;0
530010805060245;1;73;0;0
530010805060246;1;41;0;0
530010805060247;1;54;0;0
530010805060248;1;52;0;0
530010805060249;1;80;0;0
530010805060250;1;7;0;0
530010805060251;1;47;0;0
530010805060252;1;76;0;0
530010805060253;1;42;0;0
530010805060254;1;73;0;0
530010805060255;1;65;0;0
530010805060256;1;17;"X";"X"
530010805060257;1;15;0;0
530010805060258;1;73;0;0
530010805060259;1;0;0;0
530010805060260;1;87;0;0
530010805060261;1;41;0;0
530010805060262;1;5;0;0
530010805060263;1;42;0;0
530010805060264;1;34;0;0
530010805060265;1;146;3;0
530010805060266;1;140;0;1
530010805060267;1;121;0;1
530010805060268;1;243;0;0
530010805060269;1;10;0;0
530010805060271;1;106;0;0
530010805060272;1;0;"X";"X"
530010805060273;1;18;0;0
530010805060274;1;116;0;0
530010805060275;1;153;0;0
530010805060276;1;106;0;0
530010805060278;1;0;0;0
530010805060282;1;171;0;0
530010805060283;1;196;0;0
530010805060284;1;4;0;0
530010805060285;8;7;0;0
530010805060286;1;169;0;0
530010805060287;1;133;0;0
530010805060288;1;130;0;0
530010805060289;1;11;0;0
530010805060290;1;18;0;0
530010805060292;1;26;0;0
530010805060294;1;74;0;0
530010805060295;1;16;0;0
530010805060296;1;96;0;0
530010805060297;1;37;0;0
530010805060298;1;79;0;0
530010805060299;1;48;0;0
530010805060300;1;31;0;0
530010805060301;1;65;0;0
530010805060302;1;66;0;0
530010805060303;1;75;0;0
530010805060304;1;32;0;0
530010805060305;1;86;0;0
530010805060306;1;86;0;0
530010805060307;1;70;0;0
530010805060308;1;39;0;0
530010805060309;1;38;0;0
530010805060310;1;39;0;0
530010805060311;1;20;0;0
530010805060312;1;18;0;0
530010805060313;1;33;0;0
530010805060314;1;53;0;0
530010805060315;1;58;0;0
530010805060316;1;93;0;0
530010805060317;1;93;0;0
530010805060318;1;48;0;0
530010805060319;1;26;0;0
530010805060320;1;110;0;0
530010805060321;1;40;0;0
530010805060322;1;45;0;0
530010805060323;1;17;0;0
530010805060324;1;34;0;0
530010805060325;1;80;0;0
530010805060326;1;86;0;0
530010805060327;1;37;0;0
530010805060328;1;66;0;0
530010805060329;1;34;0;1
530010805060330;1;60;1;0
530010805060331;1;56;0;0
530010805060332;1;55;0;0
530010805060333;1;55;0;0
530010805060334;1;31;0;0
530010805060335;1;38;0;0
530010805060336;1;43;0;0
530010805060337;1;56;0;0
530010805060338;1;34;0;0
530010805060339;1;21;0;0
530010805060340;1;40;0;0
530010805060341;1;18;0;0
530010805060342;1;9;0;0
530010805060343;1;2;0;0
530010805060344;1;11;0;0
530010805060345;1;7;0;1
530010805060346;1;37;1;0
530010805060347;1;41;0;0
530010805060348;1;10;0;0
530010805060349;1;8;0;0
530010805060350;1;20;0;0
530010805060351;1;19;0;0
530010805060352;1;37;0;0
530010805060353;1;13;0;0
530010805060354;1;18;0;0
530010805060355;1;12;0;0
530010805060356;1;21;0;0
530010805060357;1;40;0;0
530010805060358;1;128;0;0
530010805060359;1;93;1;0
530010805060360;1;30;0;0
530010805060361;1;39;0;0
530010805060362;1;118;0;0
530010805060363;1;38;0;0
530010805060364;1;36;0;1
530010805060365;1;43;0;0
530010805060366;1;66;0;0
530010805060367;1;29;0;0
530010805060368;1;63;0;0
530010805060369;1;33;0;0
530010805060370;1;72;0;0
530010805060371;1;39;0;0
530010805060372;1;23;0;0
530010805060373;1;42;0;0
530010805060374;1;42;0;0
530010805060375;1;31;0;0
530010805060376;1;282;1;0
530010805060377;1;2;0;0
530010805060378;1;2;0;0
530010805060379;1;47;0;0
530010805060380;1;36;0;0
530010805060381;1;37;0;0
530010805060382;1;26;0;0
530010805060383;1;46;0;0
530010805060384;1;79;0;0
530010805060385;1;61;0;0
530010805060386;1;13;0;0
530010805060387;1;39;0;0
530010805060388;1;21;0;0
530010805060389;1;58;0;0
530010805060390;1;36;0;0
530010805060391;1;30;0;0
530010805060392;1;18;0;0
530010805060393;1;6;0;0
530010805060394;1;35;0;0
530010805060395;1;37;0;0
530010805060396;1;19;0;0
530010805060397;1;77;0;0
530010805060398;1;48;0;0
530010805060399;1;29;0;0
530010805060400;1;43;0;0
530010805060401;1;11;0;0
530010805060402;1;62;0;1
530010805060403;1;39;0;0
530010805060404;1;34;0;0
530010805060405;1;33;0;0
530010805060406;1;6;0;0
530010805060407;1;43;0;0
530010805060408;1;36;0;0
530010805060409;1;28;0;0
530010805060410;1;33;0;0
530010805060411;1;27;0;0
530010805060412;1;27;0;0
530010805060413;1;23;1;0
530010805060414;1;26;0;0
530010805060415;1;36;0;0
530010805060416;1;8;0;0
530010805060417;1;14;0;0
530010805060418;1;38;1;0
530010805060419;1;5;0;0
530010805060420;1;4;0;0
530010805060421;1;28;0;0
530010805060422;1;147;0;0
530010805060423;1;39;0;0
530010805060424;1;67;0;0
530010805060425;1;53;0;0
530010805060426;1;46;0;0
530010805060427;1;93;0;0
530010805060428;1;45;0;0
530010805060429;1;2;0;0
530010805060430;1;10;0;0
530010805060431;1;8;0;0
530010805060432;1;7;0;0
530010805060433;1;6;0;0
530010805060434;1;8;0;0
530010805060435;1;24;0;0
530010805060436;1;27;0;0
530010805060437;1;20;0;0
530010805060438;1;15;0;0
530010805060439;1;42;0;0
530010805060440;1;64;0;0
530010805060441;1;3;0;0
530010805060442;1;8;0;0
530010805060443;1;15;0;0
530010805060444;1;10;0;0
530010805060445;1;0;"X";"X"
530010805060446;8;2;"X";"X"
530010805060447;1;18;0;0
530010805060449;1;81;0;0
530010805070001;1;80;0;0
530010805070002;1;75;0;1
530010805070003;1;74;0;0
530010805070004;1;51;0;0
530010805070005;1;81;0;0
530010805070006;1;70;0;0
530010805070007;1;56;0;0
530010805070008;1;90;0;0
530010805070009;1;53;0;0
530010805070010;1;77;0;0
530010805070011;1;93;0;0
530010805070012;1;66;0;0
530010805070013;1;107;0;0
530010805070014;1;110;0;0
530010805070015;1;74;0;0
530010805070016;1;103;0;0
530010805070017;1;80;0;0
530010805070018;1;114;0;0
530010805070019;1;68;0;0
530010805070020;1;137;0;0
530010805070021;1;108;0;0
530010805070022;1;82;0;1
530010805070023;1;105;1;0
530010805070024;1;87;0;0
530010805070025;1;123;1;0
530010805070026;1;100;0;0
530010805070027;1;126;0;0
530010805070028;1;113;0;6
530010805070029;1;97;0;2
530010805070030;1;121;0;0
530010805070031;1;113;0;0
530010805070032;1;124;0;1
530010805070033;1;161;0;0
530010805070034;1;121;0;0
530010805070035;1;106;0;0
530010805070036;1;103;0;0
530010805070037;1;110;0;0
530010805070038;1;104;0;0
530010805070039;1;165;1;0
530010805070040;1;132;1;0
530010805070041;1;189;0;0
530010805070042;1;119;0;0
530010805070043;1;166;0;0
530010805070044;1;117;0;4
530010805070045;1;77;2;0
530010805070046;1;106;0;2
530010805070047;1;114;0;0
530010805070048;1;90;0;0
530010805070049;1;106;0;0
530010805070050;1;109;0;0
530010805070051;1;122;0;0
530010805070052;1;155;0;0
530010805070053;1;129;0;0
530010805070054;1;141;0;0
530010805070055;1;89;0;0
530010805070056;1;106;0;0
530010805070057;1;145;0;0
530010805070058;1;45;0;0
530010805070059;1;68;0;0
530010805070060;1;66;0;0
530010805070061;1;152;0;0
530010805070062;1;126;0;0
530010805070063;1;68;0;0
530010805070064;1;80;0;0
530010805070065;1;70;0;0
530010805070066;1;90;0;0
530010805070067;1;122;0;0
530010805070068;1;191;0;0
530010805070069;1;145;0;0
530010805070070;1;140;0;1
530010805070071;1;106;0;0
530010805070072;1;153;0;0
530010805070073;1;192;0;0
530010805070074;1;113;0;0
530010805070075;1;147;0;0
530010805070076;1;126;0;0
530010805070077;1;109;0;0
530010805070078;1;110;0;0
530010805070079;1;166;0;0
530010805070080;1;156;0;0
530010805070081;1;123;1;0
530010805070082;1;91;0;0
530010805070083;1;68;0;0
530010805070084;1;101;0;1
530010805070085;1;88;0;0
530010805070086;1;120;0;0
530010805070087;1;109;0;0
530010805070088;1;149;0;0
530010805070089;1;116;0;0
530010805070090;1;82;0;0
530010805070091;1;74;0;0
530010805070092;1;91;0;0
530010805070093;1;83;0;0
530010805070094;1;67;0;0
530010805070095;1;91;0;1
530010805070096;1;99;0;0
530010805070097;1;184;0;0
530010805070098;1;227;0;0
530010805070099;1;81;0;0
530010805070100;1;139;0;0
530010805070101;1;76;0;0
530010805070102;1;69;0;0
530010805070103;1;104;0;0
530010805070104;1;61;0;0
530010805070105;1;93;0;0
530010805070106;1;99;0;0
530010805070107;1;106;0;0
530010805070108;1;145;0;0
530010805070109;1;104;0;0
530010805070110;1;161;0;0
530010805070111;1;109;0;0
530010805070112;1;117;0;2
530010805070113;1;60;0;0
530010805070114;1;87;0;0
530010805070115;1;144;0;0
530010805070116;1;132;0;0
530010805070117;1;139;0;0
530010805070118;1;113;0;0
530010805070119;1;87;0;0
530010805070120;1;142;0;0
530010805070121;1;103;0;0
530010805070122;1;148;0;0
530010805070123;1;197;0;0
530010805070124;1;87;0;2
530010805070125;1;140;1;0
530010805070126;1;75;0;0
530010805070127;1;70;0;0
530010805070128;1;110;0;0
530010805070129;1;138;0;0
530010805070130;1;112;0;0
530010805070131;1;184;0;1
530010805070132;1;112;0;4
530010805070133;1;117;1;0
530010805070134;1;132;0;0
530010805070135;1;129;0;0
530010805070136;1;58;0;0
530010805070137;1;123;0;0
530010805070138;1;140;0;0
530010805070139;1;85;0;0
530010805070140;1;150;0;2
530010805070141;1;185;0;3
530010805070142;1;110;0;0
530010805070143;1;0;0;0
530010805070144;1;73;0;0
530010805070145;1;94;0;0
530010805070146;1;105;0;0
530010805070147;1;91;0;0
530010805070148;1;110;1;0
530010805070149;1;96;0;0
530010805070150;1;57;0;0
530010805070151;1;114;0;0
530010805070152;1;109;0;0
530010805070153;1;91;0;0
530010805070154;1;116;0;0
530010805070155;1;125;0;0
530010805070156;1;150;0;0
530010805070157;1;135;0;0
530010805070158;1;85;0;0
530010805070159;1;80;0;0
530010805070160;1;177;0;0
530010805070161;1;98;0;0
530010805070162;8;50;0;0
530010805070163;8;127;0;0
530010805070164;8;97;1;0
530010805070165;8;34;1;0
530010805070166;8;54;1;0
530010805070167;8;84;0;0
530010805070169;8;28;0;0
530010805070170;5;111;0;0
530010805070171;5;55;0;0
530010805070172;5;61;0;0
530010805070173;5;62;1;0
530010805070174;8;143;0;0
530010805070175;1;66;0;0
530010805070176;1;76;0;0
530010805070177;1;120;0;0
530010805070178;1;129;0;0
530010805070179;8;184;4;0
530010805070180;1;45;0;0
530010805070181;1;87;0;0
530010805070182;1;54;0;0
530010805070183;1;3;0;0
530010805070184;1;76;0;0
530010805070185;1;38;0;0
530010805070186;1;77;0;0
530010805070187;1;63;0;0
530010805070188;8;30;0;0
530010805070189;8;8;0;0
530010805070190;8;8;0;0
530010805070191;8;9;0;0
530010805070192;8;10;0;0
530010805070193;8;1;"X";"X"
530010805070194;1;62;0;0
530010805070195;8;12;0;0
530010805070196;8;5;0;0
530010805070197;1;108;0;0
530010805070198;1;120;0;1
530010805070199;1;55;0;0
530010805070200;1;37;0;0
530010805070201;1;34;0;0
530010805070202;8;28;0;0
530010805070203;8;13;0;0
530010805070204;8;8;0;0
530010805070205;1;114;0;0
530010805070206;1;225;0;0
530010805070207;8;137;0;0
530010805070208;2;66;0;0
530010805070209;2;90;0;0
530010805070210;8;116;0;0
530010805070211;8;37;0;0
530010805070212;8;71;0;0
530010805070213;8;120;0;0
530010805070214;8;172;1;0
530010805070215;1;204;0;0
530010805070216;1;87;0;0
530010805070217;1;183;0;0
530010805070218;8;141;0;1
530010805070219;8;3;0;0
530010805070220;8;36;0;0
530010805070221;8;24;0;0
530010805070223;2;38;0;0
530010805070224;8;24;0;0
530010805070225;8;2;"X";"X"
530010805080001;1;77;0;0
530010805080002;1;74;0;0
530010805080003;1;64;0;0
530010805080004;1;158;0;0
530010805080005;1;64;0;1
530010805080006;1;97;0;0
530010805080007;1;103;1;0
530010805080008;1;123;0;0
530010805080009;1;98;0;0
530010805080010;1;130;0;1
530010805080011;1;134;0;0
530010805080012;1;57;0;0
530010805080013;1;109;0;0
530010805080014;1;85;0;0
530010805080015;1;136;0;0
530010805080016;1;43;0;0
530010805080017;1;62;0;0
530010805080018;1;88;0;0
530010805080019;1;89;0;0
530010805080020;1;90;0;0
530010805080021;1;152;0;0
530010805080022;1;87;0;0
530010805080023;1;114;0;0
530010805080024;1;78;0;0
530010805080025;1;66;0;0
530010805080026;1;82;0;0
530010805080027;1;50;0;0
530010805080028;1;78;0;0
530010805080029;1;65;0;0
530010805080030;1;60;0;0
530010805080031;1;105;0;0
530010805080032;1;143;0;0
530010805080033;1;100;0;0
530010805080034;1;144;0;0
530010805080035;1;86;0;0
530010805080036;1;57;0;0
530010805080037;1;107;0;0
530010805080038;1;53;0;2
530010805080039;1;116;0;0
530010805080040;1;83;0;0
530010805080041;1;70;0;0
530010805080042;1;83;0;0
530010805080045;1;8;0;0
530010805080046;1;66;0;0
530010805080047;1;117;0;0
530010805080048;1;8;0;0
530010805080050;1;64;0;0
530010805080051;1;14;0;0
530010805080053;1;14;0;0
530010805080055;1;30;0;0
530010805080057;1;50;0;0
530010805080058;1;33;0;0
530010805080059;1;27;0;0
530010805080060;1;116;0;0
530010805080061;1;16;0;0
530010805080062;1;106;0;0
530010805080063;1;110;0;0
530010805080064;1;55;0;0
530010805080065;1;53;0;0
530010805080066;1;40;0;0
530010805080068;1;174;0;0
530010805080069;1;31;0;0
530010805080070;1;37;0;0
530010805080071;1;53;0;0
530010805080072;1;23;0;0
530010805080073;1;138;0;0
530010805080074;1;92;0;0
530010805080075;1;45;0;0
530010805080076;1;9;0;0
530010805080077;1;173;0;0
530010805080078;1;68;1;0
530010805080079;1;53;0;0
530010805080080;1;94;0;0
530010805080081;1;78;0;0
530010805080082;1;100;0;0
530010805080083;1;23;0;1
530010805080084;1;46;0;0
530010805080085;1;44;0;0
530010805080086;1;80;0;0
530010805080087;1;78;0;0
530010805080088;1;159;0;0
530010805080089;1;23;0;0
530010805080090;1;66;0;0
530010805080091;1;64;0;0
530010805080092;1;16;0;0
530010805080094;1;53;0;0
530010805080095;1;67;0;0
530010805080096;1;50;0;0
530010805080097;1;13;0;0
530010805080098;1;30;0;0
530010805080099;1;15;0;0
530010805080100;1;128;0;0
530010805080101;1;136;0;0
530010805080102;1;65;0;0
530010805080103;1;40;0;0
530010805080104;1;109;0;0
530010805080105;1;40;0;0
530010805080106;1;70;0;0
530010805080108;1;22;0;0
530010805080109;1;30;0;0
530010805080110;1;112;0;0
530010805080112;1;70;0;0
530010805080113;1;57;0;0
530010805080115;1;43;0;0
530010805080116;1;52;0;0
530010805080117;1;65;0;0
530010805080118;1;73;0;0
530010805080119;1;73;0;0
530010805080120;1;65;0;0
530010805080121;1;60;0;0
530010805080122;1;71;0;0
530010805080123;1;94;0;0
530010805080125;1;52;0;0
530010805080127;1;129;0;0
530010805080128;1;54;0;0
530010805080129;1;62;0;0
530010805080130;1;108;0;0
530010805080131;1;46;0;0
530010805080138;1;36;0;0
530010805080140;1;31;0;0
530010805080142;1;18;0;0
530010805080143;1;95;0;0
530010805080144;1;68;0;0
530010805080145;1;72;0;0
530010805080146;1;119;0;0
530010805080147;1;28;0;0
530010805080148;1;38;0;0
530010805080149;1;58;0;0
530010805080150;1;152;0;0
530010805080151;1;41;0;0
530010805080152;1;81;0;0
530010805080153;1;40;0;0
530010805080154;1;52;0;0
530010805080155;1;80;0;0
530010805080156;1;64;0;0
530010805080157;1;61;0;0
530010805080161;1;31;0;0
530010805080162;1;92;0;0
530010805080163;1;16;0;0
530010805080164;1;20;0;0
530010805080166;1;10;0;0
530010805080167;1;16;0;0
530010805080168;1;88;0;0
530010805080169;1;22;0;0
530010805080170;1;23;0;0
530010805080171;1;16;0;0
530010805080172;1;14;0;0
530010805080173;1;78;0;0
530010805080174;1;22;0;0
530010805080175;1;10;0;0
530010805080176;1;52;0;0
530010805080177;1;76;0;0
530010805080178;1;0;"X";"X"
530010805080179;1;14;0;0
530010805080180;1;49;0;0
530010805080181;1;15;0;0
530010805080182;1;36;0;0
530010805080183;1;43;0;0
530010805080184;1;51;0;0
530010805080185;1;34;0;0
530010805080186;1;71;0;0
530010805080187;1;63;0;0
530010805080188;1;87;0;0
530010805080189;1;73;0;0
530010805080190;1;95;0;0
530010805080191;1;73;0;0
530010805080192;1;51;0;0
530010805080193;1;60;0;0
530010805080194;1;38;0;0
530010805080195;1;62;0;0
530010805080196;1;41;0;0
530010805080197;1;56;0;0
530010805080198;1;49;0;0
530010805080199;1;46;0;0
530010805080200;1;140;0;0
530010805080201;1;92;0;0
530010805080202;1;110;0;0
530010805080203;1;99;0;0
530010805080204;1;87;0;0
530010805080205;1;67;0;0
530010805080206;1;69;0;0
530010805080207;1;69;0;0
530010805080208;1;50;0;0
530010805080209;1;52;0;0
530010805080210;1;56;0;0
530010805080211;1;57;0;0
530010805080212;1;13;0;0
530010805080213;1;93;0;0
530010805080214;1;62;0;0
530010805080215;1;136;0;0
530010805080216;1;86;0;0
530010805080217;1;56;0;0
530010805080218;1;70;0;0
530010805080219;1;43;0;0
530010805080220;1;47;0;0
530010805080221;1;20;0;0
530010805080222;1;67;0;0
530010805080223;1;79;0;2
530010805080224;1;71;0;0
530010805080225;1;71;0;0
530010805080226;1;41;0;0
530010805080227;1;57;0;0
530010805080228;1;39;0;0
530010805080229;1;35;0;0
530010805080230;1;38;0;0
530010805080231;1;71;0;0
530010805080232;1;69;0;0
530010805080233;1;40;0;0
530010805080234;1;74;0;0
530010805080235;1;67;0;0
530010805080236;1;45;0;0
530010805080237;1;61;0;0
530010805080238;1;79;0;0
530010805080239;1;135;0;0
530010805080240;1;124;0;0
530010805080241;1;110;0;0
530010805080242;2;30;0;0
530010805080243;1;62;0;0
530010805080244;1;33;0;0
530010805080245;1;31;0;0
530010805080246;1;49;0;0
530010805080247;1;44;0;0
530010805080248;1;44;0;0
530010805080249;1;35;0;0
530010805080250;1;49;0;0
530010805080251;1;66;0;0
530010805080252;1;49;0;0
530010805080253;1;37;0;0
530010805080254;1;24;0;0
530010805080255;1;28;0;0
530010805080256;1;71;0;0
530010805080257;1;82;0;0
530010805080258;1;50;0;1
530010805080259;1;94;0;0
530010805080260;1;66;0;0
530010805080261;1;64;0;0
530010805080262;1;78;0;0
530010805080263;1;43;0;0
530010805080264;1;83;0;1
530010805080265;1;52;0;0
530010805080266;1;50;0;0
530010805080267;1;61;0;0
530010805080268;1;60;0;0
530010805080269;1;80;0;0
530010805080270;1;26;0;0
530010805080271;1;94;0;0
530010805080272;1;63;0;0
530010805080273;1;72;0;0
530010805080274;1;39;0;0
530010805080275;1;36;0;0
530010805080276;1;44;0;0
530010805080277;1;62;0;0
530010805080278;1;54;0;0
530010805080279;1;53;0;0
530010805080280;1;82;0;0
530010805080281;1;35;0;0
530010805080282;1;46;0;0
530010805080283;1;17;0;0
530010805080284;1;85;0;0
530010805080285;1;67;0;0
530010805080286;1;87;0;0
530010805080287;1;108;0;0
530010805080288;1;34;0;0
530010805080289;1;57;0;0
530010805080290;1;83;0;0
530010805080291;1;52;0;0
530010805080292;1;49;0;0
530010805080293;1;64;0;0
530010805080294;1;126;0;0
530010805080295;1;100;0;0
530010805080296;1;56;0;0
530010805080297;1;63;0;0
530010805080298;1;47;0;0
530010805080299;1;46;0;0
530010805080300;1;46;0;0
530010805080301;1;79;0;0
530010805080302;1;108;0;0
530010805080303;1;37;0;0
530010805080304;1;86;0;0
530010805080305;1;91;0;0
530010805080306;1;85;0;0
530010805080307;1;67;0;0
530010805080308;1;18;0;0
530010805080309;1;76;0;0
530010805080310;1;47;0;0
530010805080311;1;71;1;0
530010805080312;1;83;0;0
530010805080313;1;63;0;0
530010805080314;1;67;0;0
530010805080315;1;71;0;0
530010805080316;1;52;0;0
530010805080317;1;51;0;0
530010805080318;1;85;0;0
530010805080319;1;58;0;0
530010805080320;1;160;0;0
530010805080321;1;72;0;0
530010805080322;1;33;0;0
530010805080323;1;105;0;0
530010805080324;1;57;0;0
530010805080325;1;84;0;0
530010805080326;1;73;0;0
530010805080327;1;64;0;0
530010805080328;1;59;0;0
530010805080329;1;78;0;0
530010805080330;1;96;0;0
530010805080331;1;60;0;0
530010805080332;1;65;0;0
530010805080333;1;54;0;0
530010805080334;1;106;0;0
530010805080335;1;114;0;0
530010805080336;1;99;0;0
530010805080337;1;103;0;0
530010805080338;1;65;0;0
530010805080339;1;65;0;0
530010805080340;1;83;0;0
530010805080341;1;47;0;0
530010805080342;1;83;0;0
530010805080343;1;80;0;0
530010805080344;1;122;0;0
530010805080345;1;67;0;0
530010805080346;1;68;0;0
530010805080347;1;69;0;0
530010805080348;1;61;1;0
530010805080349;1;49;0;0
530010805080350;1;0;0;0
530010805080351;8;21;0;0
530010805080352;1;75;0;0
530010805080353;1;61;0;0
530010805080354;1;116;0;0
530010805080355;1;106;0;0
530010805080356;1;109;0;0
530010805080357;1;56;0;0
