Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108
530010805150080;1;85;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;1;0;1;2;0;1;1;3;0;2;2;2;2;1;3;3;2;1;1;6;2;2;3;2;2;0;1;1;1;1;2;2;1;2;0;1;4;1;1;0;0;2;0;2;1;3;2;2;3;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;79;0;0;4;4;5;9;10;15;5;8;7;4;6;2;0
530010805150081;1;93;0;0;0;0;0;0;1;1;0;0;0;0;1;0;3;1;1;1;2;3;5;2;3;2;2;2;1;0;2;3;1;1;1;2;3;1;2;4;3;3;0;0;2;0;4;0;0;1;0;3;3;4;2;0;0;2;1;3;1;3;2;1;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;86;0;2;4;8;14;8;8;13;6;3;9;8;3;0;0
530010805150082;1;76;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;3;1;1;2;1;1;2;2;3;1;1;3;2;4;2;0;4;1;1;0;0;2;2;1;2;3;1;0;2;1;2;0;2;3;0;0;0;2;0;3;0;1;3;3;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;74;0;1;1;5;6;9;11;6;10;6;5;4;8;2;0
530010805150083;1;79;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;1;3;2;0;1;1;2;0;1;4;4;3;0;1;1;0;0;3;3;2;4;1;3;1;0;0;3;0;2;3;3;0;1;4;1;2;0;0;3;2;2;1;1;0;0;2;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78;0;1;3;7;8;9;8;9;7;9;7;4;3;1;2
530010805150084;1;101;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;1;2;1;3;3;0;5;3;0;5;2;5;3;3;5;2;0;3;3;1;0;0;0;0;4;1;2;4;2;1;3;2;2;0;4;1;1;0;1;0;2;3;1;0;1;2;2;0;3;1;0;2;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;91;0;1;2;10;13;18;9;4;10;10;3;5;5;1;0
530010805150085;1;52;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;3;0;2;1;0;2;2;0;0;3;1;1;1;0;2;1;0;1;1;1;1;1;2;0;1;3;0;2;1;1;2;1;0;1;0;0;1;1;1;2;0;1;0;0;1;1;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;0;0;2;6;4;6;5;5;7;5;3;3;3;1;1
530010805150086;1;43;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;1;0;1;1;0;0;2;2;1;1;1;2;0;1;1;2;2;2;1;1;0;0;2;0;0;4;1;0;1;0;0;1;0;1;0;3;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0;1;2;1;4;7;6;3;7;2;4;2;1;0;0
530010805150087;1;120;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1;2;0;1;1;1;2;1;2;6;1;5;4;5;3;4;3;0;3;2;4;4;3;2;5;1;5;3;2;3;2;1;0;6;0;1;2;3;1;1;4;5;2;2;0;2;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;113;0;2;2;5;12;21;12;15;14;8;10;8;3;1;0
530010805150088;1;74;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;1;0;3;3;3;1;4;1;1;0;0;0;0;4;2;1;1;3;2;1;1;4;0;4;0;3;1;5;2;2;1;3;1;0;0;0;0;3;3;1;1;0;0;1;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71;1;0;2;5;12;1;11;8;13;8;3;4;3;0;0
530010805150089;1;103;0;0;0;0;0;0;1;0;1;0;0;0;1;2;1;1;2;3;0;2;4;2;0;3;1;1;2;6;4;1;1;1;2;2;2;2;3;1;1;3;5;0;0;2;2;4;2;1;2;2;3;2;6;2;2;2;2;1;1;1;0;0;0;3;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;93;0;2;4;8;9;14;8;10;8;11;11;5;1;2;0
