Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;
530010805060001;1;0;0;0;0;0;0;0;0;0;0
530010805060002;1;0;0;0;0;0;0;0;0;0;0
530010805060004;1;0;0;0;0;0;0;0;0;0;0
530010805060005;1;0;0;0;0;0;0;0;0;1;0
530010805060006;1;23;0;0;3;0;8;0;0;1;0
530010805060007;1;4;0;0;3;0;11;0;0;0;0
530010805060008;1;16;0;0;2;0;17;0;0;2;0
530010805060009;1;12;0;0;2;0;14;0;0;0;0
530010805060010;1;8;0;0;1;0;10;0;1;0;0
530010805060011;1;7;0;0;3;0;7;0;0;1;0
530010805060012;1;11;0;0;2;0;8;0;0;1;0
530010805060013;1;18;0;0;3;0;7;0;0;8;0
530010805060014;1;11;0;0;5;0;15;1;0;5;0
530010805060015;1;4;0;0;1;0;12;1;0;5;0
530010805060016;1;7;0;1;2;0;6;0;0;3;0
530010805060017;1;8;2;0;9;0;5;1;0;5;0
530010805060018;1;8;0;0;11;0;10;0;0;6;0
530010805060019;1;5;0;0;6;0;8;0;0;5;0
530010805060020;1;3;0;0;0;0;7;0;0;0;0
530010805060021;1;4;1;0;0;0;4;0;0;0;0
530010805060022;1;10;0;0;0;0;3;0;0;2;0
530010805060023;1;8;0;0;0;0;7;0;0;2;0
530010805060024;1;12;0;0;5;0;7;0;0;4;0
530010805060025;1;9;0;0;1;0;4;0;0;2;0
530010805060026;1;15;0;0;2;0;17;0;0;2;0
530010805060027;1;22;1;0;3;0;22;0;0;0;0
530010805060028;1;6;0;0;1;0;11;0;0;1;0
530010805060029;1;13;0;0;1;0;13;0;0;2;0
530010805060030;1;9;0;0;5;0;9;0;0;3;0
530010805060031;1;4;0;0;2;0;0;1;0;2;0
530010805060032;1;9;0;0;1;0;10;0;0;2;0
530010805060033;1;9;0;0;1;0;8;0;0;1;0
530010805060034;1;15;0;0;0;0;5;0;0;3;0
530010805060035;1;18;0;0;4;0;22;0;0;6;0
530010805060036;1;21;0;1;6;0;29;0;1;4;0
530010805060037;1;7;1;1;1;0;8;0;0;3;0
530010805060038;1;16;0;0;3;0;12;0;0;6;0
530010805060039;1;8;0;1;1;0;11;0;0;1;0
530010805060040;1;7;0;0;1;0;7;0;0;1;0
530010805060041;1;10;0;0;2;0;12;0;0;5;0
530010805060042;1;20;0;0;7;0;11;0;0;3;0
530010805060043;1;11;0;0;6;0;12;0;0;3;0
530010805060044;1;8;0;0;1;0;7;0;0;3;0
530010805060045;1;4;0;0;1;0;2;0;0;1;0
530010805060046;1;0;0;0;5;0;4;0;0;2;0
530010805060047;1;8;0;1;2;0;12;0;0;3;0
530010805060048;1;16;0;0;0;0;5;0;0;2;0
530010805060049;1;17;0;0;7;0;11;1;0;6;0
530010805060050;1;13;1;0;2;0;12;0;0;4;0
530010805060051;1;8;0;0;3;0;14;0;0;1;0
530010805060052;1;3;0;0;2;0;2;0;0;1;0
530010805060053;1;8;0;0;2;0;4;0;0;1;0
530010805060054;1;8;0;1;2;0;11;0;0;1;0
530010805060055;1;7;1;0;2;0;14;0;0;3;0
530010805060056;1;13;0;0;0;0;11;0;1;4;0
530010805060057;1;13;0;0;1;0;8;0;0;1;0
530010805060058;1;1;0;0;0;0;0;0;0;0;0
530010805060059;1;6;0;0;6;0;8;0;1;5;0
530010805060060;1;11;1;0;0;0;15;0;0;2;0
530010805060061;1;12;0;1;2;0;14;0;0;3;0
530010805060062;1;5;0;0;3;0;8;1;1;2;0
530010805060063;1;11;1;2;1;0;9;0;0;0;0
530010805060064;1;8;1;0;2;0;4;0;0;0;0
530010805060065;1;2;0;0;2;0;2;0;0;1;0
530010805060066;1;10;0;0;2;0;12;0;2;2;0
530010805060067;1;9;0;0;2;0;7;0;0;0;0
530010805060068;1;13;0;0;5;0;16;0;0;2;0
530010805060069;1;17;1;0;0;0;10;0;0;1;0
530010805060070;1;0;0;0;1;0;3;0;0;2;0
530010805060071;1;6;0;0;0;0;6;0;0;2;0
530010805060072;1;7;1;0;2;0;15;0;0;2;0
530010805060073;1;11;1;0;4;0;6;0;0;5;0
530010805060074;1;21;0;0;4;0;25;0;0;1;0
530010805060075;1;21;0;1;4;0;14;0;1;8;0
530010805060076;1;11;0;0;3;0;10;0;0;3;0
530010805060077;1;12;0;0;3;0;1;0;0;3;0
530010805060078;1;11;1;0;2;0;4;0;0;2;0
530010805060079;1;0;1;0;3;0;3;1;0;2;0
530010805060080;1;5;0;0;1;0;9;0;0;0;0
530010805060081;1;0;0;0;1;0;3;0;0;0;0
530010805060082;1;6;0;0;1;0;6;0;0;3;0
530010805060083;1;5;0;0;0;0;5;0;0;2;0
530010805060084;1;3;0;0;0;0;9;0;0;1;0
530010805060085;1;5;0;0;4;0;10;0;0;1;0
530010805060086;1;7;0;0;5;0;11;1;0;5;0
530010805060087;1;5;1;1;1;0;3;0;0;4;0
530010805060088;1;6;0;0;1;0;7;0;0;0;0
530010805060089;1;14;0;0;3;0;11;1;0;0;0
530010805060090;1;18;0;0;1;0;23;0;0;0;0
530010805060091;1;6;0;0;4;0;11;2;0;1;0
530010805060092;1;7;1;0;4;0;4;0;0;6;0
530010805060093;1;4;0;0;1;0;0;0;0;3;0
530010805060094;1;5;0;0;1;0;8;0;0;1;0
530010805060095;1;1;0;0;1;0;4;0;0;3;0
530010805060096;1;8;3;0;2;0;11;0;0;2;0
530010805060097;1;10;0;0;2;0;8;0;0;5;1
530010805060098;1;7;0;0;1;0;9;0;0;1;0
530010805060099;1;12;0;1;1;0;10;0;2;0;0
