Cod_setor;Situacao_setor;V422;V423;V424;V425;V426;V427;V428;V429;V430;V431;V432;V433;V434;V435;V436;V437;V438;V439;V440;V441;V442;V443;V444;V445;V446;V447;V448;V449;V450;V451;V452;V453;V454;V455;V456;V457;V458;V459;V460;V461;V462;V463;V464;V465;V466;V467;V468;V469;V470;V471;V472;V473;V474;V475;V476;V477;V478;V479;V480;V481;V482;V483;V484;V485;V486;V487;V488;V489;V490;V491;V492;V493;V494;V495;V496;V497;V498;V499;V500;V501;V502;V503;V504;V505;V506;V507;V508;V509;V510;V511;V512;V513;V514;V515;V516;V517;V518;V519;V520;V521;V522;V523;V524;V525;V526;V527;V528;V529;V530;V531;V532;V533;V534;V535;V536;V537;V538;V539;V540;V541;V542;V543;V544;V545;V546;V547;V548;V549;V550;V551;V552;V553;V554;V555;V556;V557;V558;V559;V560;V561;V562;V563;V564;V565;V566;V567;V568;V569;V570;V571;V572;V573;V574;V575;V576;V577;V578;V579;V580;V581;V582;V583;V584;V585;V586;V587;V588;V589;V590;V591;V592;V593;V594;V595;V596;V597;V598;V599;V600;V601;V602;V603;V604;V605;V606;V607;V608;V609;V610;V611;V612;V613;V614;V615;V616;V617;V618;V619;V620;V621;V622
5,30011E+14;1;585;427;0;128;0;26;0;427;0;128;0;26;0;427;0;128;0;26;0;427;0;128;0;26;0;427;0;128;0;26;0;427;0;128;0;26;0;0;427;0;128;0;26;0;427;0;128;0;26;0;427;0;128;0;26;0;427;0;128;0;26;585;0;0;0;585;0;0;0;585;0;0;0;585;0;0;0;585;0;0;0;585;0;0;0;0;585;0;0;0;585;0;0;0;585;0;0;0;585;0;0;585;0;0;0;0;0;585;0;0;0;0;0;585;0;0;0;0;0;585;0;0;0;0;0;585;0;0;0;0;0;585;0;0;0;0;0;0;585;0;0;0;0;0;585;0;0;0;0;0;585;0;0;0;0;0;585;0;0;0;0;579;0;6;0;579;0;6;0;579;0;6;0;579;0;6;0;579;0;6;0;579;0;6;0;0;579;0;6;0;579;0;6;0;579;0;6;0;579;0;6
5,30011E+14;1;839;560;0;229;0;50;0;560;0;229;0;50;0;560;0;229;0;50;0;560;0;229;0;50;0;560;0;229;0;50;0;560;0;229;0;50;0;0;560;0;229;0;50;147;413;83;146;7;43;0;560;0;229;0;50;0;560;0;229;0;50;839;0;0;0;839;0;0;0;839;0;0;0;839;0;0;0;839;0;0;0;839;0;0;0;0;839;0;0;237;602;0;0;0;839;0;0;0;839;0;0;839;0;0;0;0;0;839;0;0;0;0;0;839;0;0;0;0;0;839;0;0;0;0;0;839;0;0;0;0;0;839;0;0;0;0;0;0;839;0;0;0;0;237;602;0;0;0;0;0;839;0;0;0;0;0;839;0;0;0;0;839;0;0;0;839;0;0;0;839;0;0;0;839;0;0;0;839;0;0;0;839;0;0;0;0;839;0;0;237;602;0;0;0;839;0;0;0;839;0;0
5,30011E+14;1;643;173;0;440;0;22;0;173;0;440;0;22;0;173;0;440;0;22;0;173;0;440;0;22;0;173;0;440;0;22;0;173;0;440;0;22;0;173;0;440;0;22;0;3;170;44;396;5;17;0;173;0;440;0;22;0;173;0;440;0;22;643;0;0;0;643;0;0;0;643;0;0;0;643;0;0;0;643;0;0;0;643;0;0;0;643;0;0;0;52;591;0;0;0;643;0;0;0;643;0;0;638;0;2;0;0;0;638;0;2;0;0;0;638;0;2;0;0;0;638;0;2;0;0;0;638;0;2;0;0;0;638;0;2;0;0;0;638;0;2;0;0;0;52;586;0;2;0;0;0;638;0;2;0;0;0;638;0;2;0;0;427;0;216;0;427;0;216;0;427;0;216;0;427;0;216;0;427;0;216;0;427;0;216;0;427;0;216;0;45;382;7;209;0;427;0;216;0;427;0;216
5,30011E+14;1;967;711;0;241;0;15;0;711;0;241;0;15;0;711;0;241;0;15;0;711;0;241;0;15;0;711;0;241;0;15;0;711;0;241;0;15;0;0;711;0;241;0;15;121;590;68;173;0;15;0;711;0;241;0;15;0;711;0;241;0;15;967;0;0;0;967;0;0;0;967;0;0;0;967;0;0;0;967;0;0;0;967;0;0;0;0;967;0;0;189;778;0;0;0;967;0;0;0;967;0;0;967;0;0;0;0;0;967;0;0;0;0;0;967;0;0;0;0;0;967;0;0;0;0;0;967;0;0;0;0;0;967;0;0;0;0;0;0;967;0;0;0;0;189;778;0;0;0;0;0;967;0;0;0;0;0;967;0;0;0;0;967;0;0;0;967;0;0;0;967;0;0;0;967;0;0;0;967;0;0;0;967;0;0;0;0;967;0;0;189;778;0;0;0;967;0;0;0;967;0;0
5,30011E+14;1;667;518;0;137;0;12;0;518;0;137;0;12;0;518;0;137;0;12;0;518;0;137;0;12;0;518;0;137;0;12;0;518;0;137;0;12;0;0;518;0;137;0;12;76;442;25;112;0;12;0;518;0;137;0;12;0;518;0;137;0;12;667;0;0;0;667;0;0;0;667;0;0;0;667;0;0;0;667;0;0;0;667;0;0;0;0;667;0;0;101;566;0;0;0;667;0;0;0;667;0;0;667;0;0;0;0;0;667;0;0;0;0;0;667;0;0;0;0;0;667;0;0;0;0;0;667;0;0;0;0;0;667;0;0;0;0;0;0;667;0;0;0;0;101;566;0;0;0;0;0;667;0;0;0;0;0;667;0;0;0;0;667;0;0;0;667;0;0;0;667;0;0;0;667;0;0;0;667;0;0;0;667;0;0;0;0;667;0;0;101;566;0;0;0;667;0;0;0;667;0;0
5,30011E+14;1;508;347;0;145;0;11;0;347;0;145;0;11;0;347;0;145;0;11;0;347;0;145;0;11;0;347;0;145;0;11;0;347;0;145;0;11;0;173;174;74;71;6;5;347;0;145;0;11;0;0;347;0;145;0;11;0;347;0;145;0;11;508;0;0;0;508;0;0;0;508;0;0;0;508;0;0;0;508;0;0;0;508;0;0;0;258;250;0;0;508;0;0;0;0;508;0;0;0;508;0;0;508;0;0;0;0;0;508;0;0;0;0;0;508;0;0;0;0;0;508;0;0;0;0;0;508;0;0;0;0;0;508;0;0;0;0;0;258;250;0;0;0;0;508;0;0;0;0;0;0;508;0;0;0;0;0;508;0;0;0;0;508;0;0;0;508;0;0;0;508;0;0;0;508;0;0;0;508;0;0;0;508;0;0;0;258;250;0;0;508;0;0;0;0;508;0;0;0;508;0;0
5,30011E+14;1;567;361;0;180;0;26;0;361;0;180;0;26;0;361;0;180;0;26;0;361;0;180;0;26;0;361;0;180;0;26;0;361;0;180;0;26;0;361;0;180;0;26;0;361;0;180;0;26;0;0;361;0;180;0;26;0;361;0;180;0;26;559;0;8;0;559;0;8;0;559;0;8;0;559;0;8;0;559;0;8;0;559;0;8;0;559;0;8;0;559;0;8;0;0;559;0;8;0;559;0;8;508;0;22;0;0;0;508;0;22;0;0;0;508;0;22;0;0;0;508;0;22;0;0;0;508;0;22;0;0;0;508;0;22;0;0;0;508;0;22;0;0;0;508;0;22;0;0;0;0;508;0;22;0;0;0;508;0;22;0;0;472;0;59;0;472;0;59;0;472;0;59;0;472;0;59;0;472;0;59;0;472;0;59;0;472;0;59;0;472;0;59;0;0;472;0;59;0;472;0;59
5,30011E+14;1;808;515;4;246;26;17;0;519;0;272;0;17;0;519;0;272;0;17;0;519;0;272;0;17;0;519;0;272;0;17;0;519;0;272;0;17;0;2;517;0;272;4;13;336;183;197;75;17;0;0;519;0;272;0;17;0;519;0;272;0;17;773;30;5;0;803;0;5;0;803;0;5;0;803;0;5;0;803;0;5;0;803;0;5;0;6;797;0;5;550;253;0;5;0;803;0;5;0;803;0;5;733;30;33;0;0;0;763;0;33;0;0;0;763;0;33;0;0;0;763;0;33;0;0;0;763;0;33;0;0;0;763;0;33;0;0;0;4;759;2;31;0;0;518;245;26;7;0;0;0;763;0;33;0;0;0;763;0;33;0;0;727;30;49;0;757;0;49;0;757;0;49;0;757;0;49;0;757;0;49;0;757;0;49;0;4;753;0;49;518;239;30;19;0;757;0;49;0;757;0;49
5,30011E+14;1;901;641;0;176;0;79;0;641;0;176;0;79;0;641;0;176;0;79;0;641;0;176;0;79;0;641;0;176;0;79;0;623;18;169;7;79;0;0;641;0;176;0;79;216;425;54;122;25;54;0;641;0;176;0;79;0;641;0;176;0;79;897;0;4;0;897;0;4;0;897;0;4;0;897;0;4;0;897;0;4;0;872;25;4;0;0;897;0;4;295;602;0;4;0;897;0;4;0;897;0;4;847;0;16;0;0;0;847;0;16;0;0;0;847;0;16;0;0;0;847;0;16;0;0;0;847;0;16;0;0;0;825;22;13;3;0;0;0;847;0;16;0;0;269;578;13;3;0;0;0;847;0;16;0;0;0;847;0;16;0;0;901;0;0;0;901;0;0;0;901;0;0;0;901;0;0;0;901;0;0;0;876;25;0;0;0;901;0;0;295;606;0;0;0;901;0;0;0;901;0;0
5,30011E+14;1;622;456;0;144;0;22;0;456;0;144;0;22;0;456;0;144;0;22;0;456;0;144;0;22;0;456;0;144;0;22;0;456;0;144;0;22;0;0;456;0;144;0;22;108;348;25;119;12;10;0;456;0;144;0;22;0;456;0;144;0;22;622;0;0;0;622;0;0;0;622;0;0;0;622;0;0;0;622;0;0;0;622;0;0;0;0;622;0;0;145;477;0;0;0;622;0;0;0;622;0;0;592;0;0;0;0;0;592;0;0;0;0;0;592;0;0;0;0;0;592;0;0;0;0;0;592;0;0;0;0;0;592;0;0;0;0;0;0;592;0;0;0;0;138;454;0;0;0;0;0;592;0;0;0;0;0;592;0;0;0;0;532;0;90;0;532;0;90;0;532;0;90;0;532;0;90;0;532;0;90;0;532;0;90;0;0;532;0;90;119;413;26;64;0;532;0;90;0;532;0;90
